2024-06-24 15:39:54,924 INFO    StreamThr :3201736 [internal.py:wandb_internal():86] W&B internal server running at pid: 3201736, started at: 2024-06-24 15:39:54.923002
2024-06-24 15:39:54,925 DEBUG   HandlerThread:3201736 [handler.py:handle_request():146] handle_request: status
2024-06-24 15:39:54,957 INFO    WriterThread:3201736 [datastore.py:open_for_write():87] open: /net/holy-nfsisilon/ifs/rc_labs/eddy_lab/Lab/protein_annotation_dl/PSALM/beta_release/wandb/run-20240624_153954-5uxvtnv1/run-5uxvtnv1.wandb
2024-06-24 15:39:54,960 DEBUG   SenderThread:3201736 [sender.py:send():382] send: header
2024-06-24 15:39:54,980 DEBUG   SenderThread:3201736 [sender.py:send():382] send: run
2024-06-24 15:39:55,229 INFO    SenderThread:3201736 [dir_watcher.py:__init__():211] watching files in: /net/holy-nfsisilon/ifs/rc_labs/eddy_lab/Lab/protein_annotation_dl/PSALM/beta_release/wandb/run-20240624_153954-5uxvtnv1/files
2024-06-24 15:39:55,229 INFO    SenderThread:3201736 [sender.py:_start_run_threads():1136] run started: 5uxvtnv1 with start time 1719257994.924152
2024-06-24 15:39:55,259 DEBUG   HandlerThread:3201736 [handler.py:handle_request():146] handle_request: check_version
2024-06-24 15:39:55,259 DEBUG   SenderThread:3201736 [sender.py:send_request():409] send_request: check_version
2024-06-24 15:39:55,336 DEBUG   HandlerThread:3201736 [handler.py:handle_request():146] handle_request: run_start
2024-06-24 15:39:55,362 DEBUG   HandlerThread:3201736 [system_info.py:__init__():27] System info init
2024-06-24 15:39:55,362 DEBUG   HandlerThread:3201736 [system_info.py:__init__():42] System info init done
2024-06-24 15:39:55,362 INFO    HandlerThread:3201736 [system_monitor.py:start():194] Starting system monitor
2024-06-24 15:39:55,362 INFO    SystemMonitor:3201736 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-24 15:39:55,362 INFO    HandlerThread:3201736 [system_monitor.py:probe():214] Collecting system info
2024-06-24 15:39:55,365 INFO    SystemMonitor:3201736 [interfaces.py:start():190] Started cpu monitoring
2024-06-24 15:39:55,368 INFO    SystemMonitor:3201736 [interfaces.py:start():190] Started disk monitoring
2024-06-24 15:39:55,369 INFO    SystemMonitor:3201736 [interfaces.py:start():190] Started gpu monitoring
2024-06-24 15:39:55,370 INFO    SystemMonitor:3201736 [interfaces.py:start():190] Started memory monitoring
2024-06-24 15:39:55,370 INFO    SystemMonitor:3201736 [interfaces.py:start():190] Started network monitoring
2024-06-24 15:39:55,382 DEBUG   HandlerThread:3201736 [system_info.py:probe():151] Probing system
2024-06-24 15:39:55,385 DEBUG   HandlerThread:3201736 [system_info.py:_probe_git():136] Probing git
2024-06-24 15:39:55,417 DEBUG   HandlerThread:3201736 [system_info.py:_probe_git():144] Probing git done
2024-06-24 15:39:55,418 DEBUG   HandlerThread:3201736 [system_info.py:probe():199] Probing system done
